---------- Uniform Rotations ----------
input: tanner
name   | rotation
---------------------------------------
uboofs | 1
vcppgt | 2
wdqqhu | 3
xerriv | 4
yfssjw | 5
zgttkx | 6
ahuuly | 7
bivvmz | 8
cjwwna | 9
dkxxob | 10
elyypc | 11
fmzzqd | 12
gnaare | 13
hobbsf | 14
ipcctg | 15
jqdduh | 16
kreevi | 17
lsffwj | 18
mtggxk | 19
nuhhyl | 20
oviizm | 21
pwjjan | 22
qxkkbo | 23
ryllcp | 24
szmmdq | 25
tanner | 26
---------- Random Rotations ----------
input: tanner
name   | rotation
---------------------------------------
tyqldv | [26,24,3,24,25,4]
dembnj | [10,4,25,14,9,18]
pbazdp | [22,1,13,12,25,24]
qqfpic | [23,16,18,2,4,11]
jgjhqj | [16,6,22,20,12,18]
thizal | [26,7,21,12,22,20]
vpryeb | [2,15,4,11,26,10]
dkwrzu | [10,10,9,4,21,3]
tzizjg | [26,25,21,12,5,15]
zaqkui | [6,26,3,23,16,17]
ehyfwj | [11,7,11,18,18,18]
hzkvgf | [14,25,23,8,2,14]
mdfghf | [19,3,18,19,3,14]
lssmmm | [18,18,5,25,8,21]
jtdzau | [16,19,16,12,22,3]
axpvgb | [7,23,2,8,2,10]
dtszav | [10,19,5,12,22,4]
irkxic | [15,17,23,10,4,11]
sbxqbu | [25,1,10,3,23,3]
klonbp | [17,11,1,26,23,24]
kwkwmc | [17,22,23,9,8,11]
dmvgyd | [10,12,8,19,20,12]
rncpfh | [24,13,15,2,1,16]
ozcqbb | [21,25,15,3,23,10]
uaiysh | [1,26,21,11,14,16]
ywpdik | [5,22,2,16,4,19]
rfhdig | [24,5,20,16,4,15]
havyna | [14,26,8,11,9,9]
yvsiwt | [5,21,5,21,18,2]
hlducy | [14,11,16,7,24,7]
vnviea | [2,13,8,21,26,9]
lgzygn | [18,6,12,11,2,22]
riokxy | [24,8,1,23,19,7]
uaflje | [1,26,18,24,5,13]
ewlxfb | [11,22,24,10,1,10]
xceeia | [4,2,17,17,4,9]
yhidip | [5,7,21,16,4,24]
luvmjt | [18,20,8,25,5,2]
xxqgrj | [4,23,3,19,13,18]
jwnrtc | [16,22,26,4,15,11]
xroesm | [4,17,1,17,14,21]
fqqifi | [12,16,3,21,1,17]
mmccsc | [19,12,15,15,14,11]
tnuvws | [26,13,7,8,18,1]
sfzeff | [25,5,12,17,1,14]
dfofll | [10,5,1,18,7,20]
