---------- Uniform Rotations ----------
input: tanner
name   | rotation
---------------------------------------
uboofs | 1
vcppgt | 2
wdqqhu | 3
xerriv | 4
yfssjw | 5
zgttkx | 6
ahuuly | 7
bivvmz | 8
cjwwna | 9
dkxxob | 10
elyypc | 11
fmzzqd | 12
gnaare | 13
hobbsf | 14
ipcctg | 15
jqdduh | 16
kreevi | 17
lsffwj | 18
mtggxk | 19
nuhhyl | 20
oviizm | 21
pwjjan | 22
qxkkbo | 23
ryllcp | 24
szmmdq | 25
tanner | 26
---------- Random Rotations ----------
input: tanner
name   | rotation
---------------------------------------
zdnhbk | [6,3,26,20,23,19]
vnuzva | [2,13,7,12,17,9]
xxwddj | [4,23,9,16,25,18]
kudlmk | [17,20,16,24,8,19]
ekbcvg | [11,10,14,15,17,15]
uxizyk | [1,23,21,12,20,19]
fqnjyw | [12,16,26,22,20,5]
ffwpqf | [12,5,9,2,12,14]
ubqnuh | [1,1,3,26,16,16]
qbqdfg | [23,1,3,16,1,15]
lpgjyl | [18,15,19,22,20,20]
iswjkj | [15,18,9,22,6,18]
msauph | [19,18,13,7,11,16]
stbtbx | [25,19,14,6,23,6]
unperp | [1,13,2,17,13,24]
dbhysc | [10,1,20,11,14,11]
fgpxag | [12,6,2,10,22,15]
xocozk | [4,14,15,1,21,19]
maqtdr | [19,26,3,6,25,26]
nvgyvs | [20,21,19,11,17,1]
toadoj | [26,14,13,16,10,18]
guqlky | [13,20,3,24,6,7]
ifvpyz | [15,5,8,2,20,8]
shagbq | [25,7,13,19,23,25]
elzfdr | [11,11,12,18,25,26]
bgqakx | [8,6,3,13,6,6]
lrbbwn | [18,17,14,14,18,22]
bywfyj | [8,24,9,18,20,18]
thmtsf | [26,7,25,6,14,14]
wraknl | [3,17,13,23,9,20]
vczlmo | [2,2,12,24,8,23]
nptghz | [20,15,6,19,3,8]
pyiwql | [22,24,21,9,12,20]
isxmpf | [15,18,10,25,11,14]
hgxmiu | [14,6,10,25,4,3]
zrwwow | [6,17,9,9,10,5]
nxvaol | [20,23,8,13,10,20]
soywst | [25,14,11,9,14,2]
qhwhzm | [23,7,9,20,21,21]
nshmao | [20,18,20,25,22,23]
jfmsbl | [16,5,25,5,23,20]
wtwhek | [3,19,9,20,26,19]
ltxzri | [18,19,10,12,13,17]
jyebbo | [16,24,17,14,23,23]
nwkwku | [20,22,23,9,6,3]
