---------- Uniform Rotations ----------
input: tanner
name   | rotation
---------------------------------------
uboofs | 1
vcppgt | 2
wdqqhu | 3
xerriv | 4
yfssjw | 5
zgttkx | 6
ahuuly | 7
bivvmz | 8
cjwwna | 9
dkxxob | 10
elyypc | 11
fmzzqd | 12
gnaare | 13
hobbsf | 14
ipcctg | 15
jqdduh | 16
kreevi | 17
lsffwj | 18
mtggxk | 19
nuhhyl | 20
oviizm | 21
pwjjan | 22
qxkkbo | 23
ryllcp | 24
szmmdq | 25
tanner | 26
---------- Random Rotations ----------
input: tanner
name   | rotation
---------------------------------------
bmcbuo | [8,12,15,14,16,23]
olgjmc | [21,11,19,22,8,11]
ikepiw | [15,10,17,2,4,5]
mgvvnx | [19,6,8,8,9,6]
dwnwmc | [10,22,26,9,8,11]
pjsfoc | [22,9,5,18,10,11]
hkkdjv | [14,10,23,16,5,4]
xolnmc | [4,14,24,26,8,11]
nhjpew | [20,7,22,2,26,5]
mqktix | [19,16,23,6,4,6]
axnsob | [7,23,26,5,10,10]
adfbkh | [7,3,18,14,6,16]
baeyxv | [8,26,17,11,19,4]
toohht | [26,14,1,20,3,2]
gdwpaq | [13,3,9,2,22,25]
jksanh | [16,10,5,13,9,16]
imdimk | [15,12,16,21,8,19]
zvgpar | [6,21,19,2,22,26]
znhtyw | [6,13,20,6,20,5]
dyfohi | [10,24,18,1,3,17]
zgkneu | [6,6,23,26,26,3]
kdfxvk | [17,3,18,10,17,19]
cvrvsa | [9,21,4,8,14,9]
xvomrd | [4,21,1,25,13,12]
ygpcvk | [5,6,2,15,17,19]
gpnkeq | [13,15,26,23,26,25]
ueqbwe | [1,4,3,14,18,13]
hwtzoq | [14,22,6,12,10,25]
fudbuv | [12,20,16,14,16,4]
mshfrb | [19,18,20,18,13,10]
vuogan | [2,20,1,19,22,22]
inyvhj | [15,13,11,8,3,18]
rvzcrt | [24,21,12,15,13,2]
hgcduv | [14,6,15,16,16,4]
kdcmdm | [17,3,15,25,25,21]
fwqrgq | [12,22,3,4,2,25]
mumbtz | [19,20,25,14,15,8]
sbxjpg | [25,1,10,22,11,15]
yvnepm | [5,21,26,17,11,21]
aimnab | [7,8,25,26,22,10]
klormi | [17,11,1,4,8,17]
uxzldj | [1,23,12,24,25,18]
eibenu | [11,8,14,17,9,3]
futvcj | [12,20,6,8,24,18]
hrsnje | [14,17,5,26,5,13]
