---------- Uniform Rotations ----------
input: tanner
name   | rotation
---------------------------------------
uboofs | 1
vcppgt | 2
wdqqhu | 3
xerriv | 4
yfssjw | 5
zgttkx | 6
ahuuly | 7
bivvmz | 8
cjwwna | 9
dkxxob | 10
elyypc | 11
fmzzqd | 12
gnaare | 13
hobbsf | 14
ipcctg | 15
jqdduh | 16
kreevi | 17
lsffwj | 18
mtggxk | 19
nuhhyl | 20
oviizm | 21
pwjjan | 22
qxkkbo | 23
ryllcp | 24
szmmdq | 25
tanner | 26
---------- Random Rotations ----------
input: tanner
name   | rotation
---------------------------------------
geqzft | [13,4,3,12,1,2]
hdtuaz | [14,3,6,7,22,8]
yftysr | [5,5,6,11,14,26]
extxfh | [11,23,6,10,1,16]
vrblki | [2,17,14,24,6,17]
ujuthl | [1,9,7,6,3,20]
fwvrri | [12,22,8,4,13,17]
rymyxv | [24,24,25,11,19,4]
vfpkms | [2,5,2,23,8,1]
uzwirb | [1,25,9,21,13,10]
urejdx | [1,17,17,22,25,6]
mpdyav | [19,15,16,11,22,4]
bcdecq | [8,2,16,17,24,25]
wugtmq | [3,20,19,6,8,25]
dppxck | [10,15,2,10,24,19]
bhfsxu | [8,7,18,5,19,3]
zkmxlt | [6,10,25,10,7,2]
tngeef | [26,13,19,17,26,14]
pesrrh | [22,4,5,4,13,16]
lowegz | [18,14,9,17,2,8]
vyhenv | [2,24,20,17,9,4]
lgryac | [18,6,4,11,22,11]
rmgcvj | [24,12,19,15,17,18]
jghpbn | [16,6,20,2,23,22]
lxqblr | [18,23,3,14,7,26]
qhgapu | [23,7,19,13,11,3]
unshhm | [1,13,5,20,3,21]
mutuwc | [19,20,6,7,18,11]
akcytz | [7,10,15,11,15,8]
nyjioh | [20,24,22,21,10,16]
leunrj | [18,4,7,26,13,18]
wccndu | [3,2,15,26,25,3]
tjfmds | [26,9,18,25,25,1]
vstcrf | [2,18,6,15,13,14]
wpclbd | [3,15,15,24,23,12]
iwnxln | [15,22,26,10,7,22]
mwkjgr | [19,22,23,22,2,26]
fkskrw | [12,10,5,23,13,5]
rmztvo | [24,12,12,6,17,23]
yifpqp | [5,8,18,2,12,24]
qzkqkl | [23,25,23,3,6,20]
uypmij | [1,24,2,25,4,18]
lviemf | [18,21,21,17,8,14]
sslgsa | [25,18,24,19,14,9]
fitfhw | [12,8,6,18,3,5]
rqoqtn | [24,16,1,3,15,22]
